DOC,temperature,DO,unionized_amonia
-10,30.0,6.3,0.0257910753
-9,30.3,5.64,0.0
-8,30.4,5.54,0.05757285108
-7,30.0,4.96,0.0
-6,31.1,4.75,0.0478036654
-5,31.2,4.37,0.0
-4,30.0,4.45,0.05677155385
-3,30.1,4.9,0.0
-2,30.6,4.77,0.08790520099
-1,30.4,4.77,0.0
0,29.8,4.87,0.1061409953
1,29.2,5.03,0.0
2,29.5,4.85,0.04266672066
3,29.7,4.66,0.0
4,29.0,5.0,0.03660519611
5,28.6,5.58,0.0
6,29.0,5.48,0.02917353431
7,29.4,5.31,0.0
8,29.9,5.44,0.03085087432
9,29.7,5.54,0.0
10,28.9,5.6,0.06885185522
11,29.0,5.43,0.0
12,28.5,6.12,0.04776286988
13,28.5,5.62,0.0
14,27.5,5.5,0.04023231748
15,28.0,5.91,0.0
16,28.1,5.81,0.02037423419
17,29.0,5.76,0.02049014645
18,29.2,6.05,0.01818713944
19,29.4,5.71,0.0
20,28.7,5.7,0.08336987111
21,28.9,6.03,0.1792046764
22,28.7,6.26,0.2242866273
23,28.2,6.03,0.3158049319
24,27.9,6.43,0.2345145148
25,27.8,6.75,0.3650114014
26,27.7,6.57,0.2974324607
27,27.9,6.86,0.2416241803
28,28.4,6.78,0.2196494481
29,29.1,6.96,0.06400929087
30,29.3,6.06,0.06142087492
31,29.2,6.02,0.07708128455
32,29.3,6.28,0.07814967142
33,29.7,6.28,0.06009443665
34,29.5,6.19,0.03652272084
35,29.1,6.34,0.02840607863
36,29.5,6.26,0.03893232946
37,29.4,5.57,0.07783859744
38,29.7,5.1,0.1052390246
39,29.2,5.39,0.1458310559
40,28.9,5.39,0.185090494
41,28.2,5.38,0.1548879926
42,28.8,5.36,0.1250856997
43,29.2,6.06,0.1498375085
44,29.3,6.05,0.1315052501
45,29.3,5.57,0.07810786237
46,28.9,5.96,0.04530106096
47,28.3,5.44,0.03981526685
48,29.1,6.19,0.0454497258
49,28.4,6.71,0.02681288084
50,29.2,7.16,0.02297228208
51,29.2,6.44,0.02329386358
52,28.8,6.04,0.009125130621
53,28.4,6.12,0.004390719397
54,28.2,6.32,0.01210195074
55,28.4,6.01,0.01457167473
56,28.3,6.08,0.01457626029
57,28.2,5.7,0.02744085219
58,28.9,6.44,0.05028901794
59,28.6,6.45,0.08374495449
60,28.9,6.17,0.1410630154
61,29.2,6.02,0.1144187877
62,29.2,5.42,0.1622180394
63,28.5,5.47,0.15469458
64,28.7,4.84,0.1983659126
65,28.4,4.81,0.2200358924
66,28.6,5.54,0.3049807192
67,29.0,5.73,0.4012465256
68,28.9,6.17,0.2039817244
69,29.0,5.95,0.2138202116
70,28.9,5.2,0.230471551
71,28.4,5.09,0.2130759711
72,28.8,5.71,0.1961484273
73,29.2,5.15,0.2030717223
74,30.0,5.57,0.2244897023
75,29.8,5.65,
76,30.2,5.34,0.1630390655
77,,,0.09132094172
78,29.8,6.01,0.07611912214
79,29.3,6.01,0.06601210648
80,29.4,6.36,0.1850440892
81,29.1,6.02,0.1839175255
82,29.1,6.7,0.202055779
83,29.6,6.78,0.1558493978
84,29.9,6.85,0.1543352212
85,29.9,7.24,0.09594017829
86,29.6,7.05,0.0539124179
87,29.7,7.51,0.06114275009
88,29.6,7.97,0.03469186001
89,29.9,8.21,0.01747477719
90,29.7,7.96,0.01241222532
91,30.0,7.59,0.01765729052
92,30.1,7.36,0.01771290892
93,29.8,6.56,0.007867319488
94,30.0,7.22,0.008763549597
95,29.5,7.1,0.007539273847
96,29.5,7.44,0.005988658086
97,29.3,4.4,0.01563014687
98,29.8,5.27,0.08370768358
99,29.9,5.57,0.1694054057
100,30.0,6.04,0.3010963123
101,30.1,6.3,0.1039644503
102,30.1,6.42,0.06022749049
103,30.3,5.76,0.02742685011
104,30.3,5.82,0.07409763291
105,30.8,6.23,0.1419556026
106,30.7,6.29,0.1795847528
107,31.1,5.78,0.2196381503
108,30.6,6.13,0.2028901512
109,30.6,5.36,0.1572318944
110,29.2,7.02,0.1201224443
111,31.1,5.34,0.09242628641
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
