DOC,Formula 3
0,0
1,0.2
2,0.3
3,0.5
4,0.7
5,0.9
6,1.1
7,1.3
8,1.5
9,1.7
10,2
11,2.2
12,2.4
13,2.7
14,2.9
15,3.2
16,3.4
17,3.7
18,4
19,4.3
20,4.5
21,4.8
22,5.1
23,5.4
24,5.7
25,6
26,6.4
27,6.7
28,7
29,7.4
30,7.7
31,8
32,8.4
33,8.7
34,9.1
35,9.5
36,9.9
37,10.2
38,10.6
39,11
40,11.4
41,11.8
42,12.2
43,12.6
44,13
45,13.4
46,13.8
47,14.3
48,14.7
49,15.2
50,15.6
51,16
52,16.5
53,16.9
54,17.4
55,17.9
56,18.3
57,18.8
58,19.3
59,19.8
60,20.2
61,20.7
62,21.2
63,21.7
64,22.2
65,22.7
66,23.2
67,23.7
68,24.2
69,24.8
70,25.3
71,25.8
72,26.3
73,26.9
74,27.4
75,28
76,28.5
77,29.1
78,29.6
79,30.2
80,30.7
81,31.3
82,31.9
83,32.4
84,33
85,33.6
86,34.2
87,34.7
88,35.3
89,35.9
90,36.5
91,37.1
92,37.7
93,38.3
94,38.9
95,39.5
96,40.1
97,40.7
98,41.4
99,42
100,42.6
101,43.2
102,43.9
103,44.5
104,45.1
105,45.7
106,46.4
107,47
108,47.7
109,48.3
110,49
111,49.6
112,50.3
113,50.9
114,51.6
115,52.2
116,52.9
117,53.6
118,54.2
119,54.9
120,55.1
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
