Tanggal,Doc,NH4_p,NH4_s,NO2_p,NO2_s,NO3_p,NO3_s,PO4_p,PO4_s,NP_p,NP_s,Alkalinitas,TOM,uia
6/22/2021,-10,0.13,-,0,-,5,-,0.1,-,49.73,-,60,44.24,0.0257910753
6/23/2021,-9,-,-,-,-,-,-,-,-,-,-,-,-,0.0
6/24/2021,-8,0.2,-,0,-,5,-,0.15,-,34.27,-,58,48.03,0.05757285108
6/25/2021,-7,-,-,-,-,-,-,-,-,-,-,-,-,0.0
6/26/2021,-6,0.25,-,0,-,5,-,0.15,-,35.06,-,66,53,0.0478036654
6/27/2021,-5,-,-,-,-,-,-,-,-,-,-,-,-,0.0
6/28/2021,-4,0.25,-,0,-,5,-,0.15,-,35.06,-,62,60.67,0.05677155385
6/29/2021,-3,-,-,-,-,-,-,-,-,-,-,-,-,0.0
6/30/2021,-2,0.3,-,0.01,-,6,-,0.15,-,42.16,-,118,48.03,0.08790520099
7/1/2021,-1,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/2/2021,0,0.3,,0,,6,,0.15,,42.07,,114,61.94,0.1061409953
7/3/2021,1,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/4/2021,2,0.2,,0.02,,6,,0.15,,40.58,,110,68.26,0.04266672066
7/5/2021,3,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/6/2021,4,0.2,,0.01,,7,,0.15,,46.75,,132,79.63,0.03660519611
7/7/2021,5,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/8/2021,6,0.2,,0.01,,7,,0.15,,46.75,,118,77.1,0.02917353431
7/9/2021,7,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/10/2021,8,0.2,,0.01,,8,,0.15,,52.97,,110,61.94,0.03085087432
7/11/2021,9,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/12/2021,10,0.3,,0,,9,,0.2,,45.55,,120,51.82,0.06885185522
7/13/2021,11,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/14/2021,12,0.3,,0,,9,,0.25,,36.44,,130,64.46,0.04776286988
7/15/2021,13,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/16/2021,14,0.3,,0,,9,,0.15,,60.73,,132,72.05,0.04023231748
7/17/2021,15,-,-,-,-,-,-,-,-,-,-,-,-,0.0
7/18/2021,16,0.3,,0.01,,9,,-,,,,130,79.63,0.02037423419
7/19/2021,17,,0.4,,0.01,,6,,,,,146,69.52,0.02049014645
7/20/2021,18,0.5,,0.01,,6,,,,,,148,70.78,0.01818713944
7/21/2021,19,,,,,,,,,,,,,0.0
7/22/2021,20,2.3,,0.02,,6,,,,,,156,72.05,0.08336987111
