Tanggal,DOC,Salinitas_p,Salinitas_s,Suhu_p,Suhu_s,pH_p,pH_p,DO_s,DO_m,plankton_p,plankton_s
6/22/2021,-10,28,30,28.1,30,8.4,8.6,6.3,,"20,000","40,000"
6/23/2021,-9,29,31,28.9,30.3,8.5,8.8,5.64,,"47,500","50,000"
6/24/2021,-8,29,34,29,30.4,8.6,8.7,5.54,,"50,000","95,000"
6/25/2021,-7,33,31,28.7,30,8.4,8.6,4.96,,"40,000","80,000"
6/26/2021,-6,32,32,29.9,31.1,8.4,8.5,4.75,,"35,000","27,500"
6/27/2021,-5,34,35,29.4,31.2,8.4,8.7,4.37,,"35,000","56,700"
6/28/2021,-4,33,30,29.2,30,8.6,8.5,4.45,,"32,200","52,200"
6/29/2021,-3,30,30,28.9,30.1,8.5,8.7,4.90,,"57,800","94,400"
6/30/2021,-2,30,30,29,30.6,8.6,8.7,4.77,,"71,100","118,000"
7/1/2021,-1,30,31,28.9,30.4,8.6,8.8,4.77,,"75,500","97,700"
7/2/2021,0,31,31,28.8,29.8,8.7,8.8,4.87,,"75,600","76,700"
7/3/2021,1,31,31,28.4,29.2,8.8,8.9,5.03,5,"93,200","111,000"
7/4/2021,2,32,32,28,29.5,8.5,8.6,4.85,4.85,"71,100","63,300"
7/5/2021,3,31,32,28,29.7,8.4,8.5,4.66,4.78,"31,100","45,600"
7/6/2021,4,31,32,27.3,29,8.3,8.7,5,5.33,"25,500","48,900"
7/7/2021,5,31,31,26.9,28.6,8.3,8.4,5.58,4.89,"26,600","48,800"
7/8/2021,6,32,32,27.5,29,8.3,8.5,5.48,5.19,"28,800","31,100"
7/9/2021,7,31,31,27.4,29.4,8.4,8.5,5.31,5.18,"26,600","75,500"
7/10/2021,8,30,32,28,29.9,8.2,8.6,5.44,5.09,"34,300","61,100"
7/11/2021,9,31,32,28.2,29.7,8.4,8.5,5.54,5.03,"33,300","44,400"
7/12/2021,10,33,33,27.6,28.9,8.4,8.8,5.6,5.18,"17,800","30,000"
7/13/2021,11,33,32,27.2,29,8.3,8.8,5.43,5.13,"21,100","22,100"
7/14/2021,12,30,32,27,28.5,8.3,8.6,6.12,5.21,"24,400","58,800"
7/15/2021,13,33,33,27.2,28.5,8.3,8.4,5.62,5.35,"26,600","39,900"
7/16/2021,14,33,32,26.7,27.5,8.2,8.6,5.5,5.46,"16,600","29,900"
7/17/2021,15,32,32,26.6,28,8.2,8.3,5.91,5.18,"22,100","60,000"
7/18/2021,16,33,33,26.5,28.1,7.9,8.3,5.81,5.53,"12,100","55,400"
7/19/2021,17,30,33,27.1,29,7.9,8,5.76,5.45,"56,600","99,900"
7/20/2021,18,33,33,27.3,29.2,7.7,7.9,6.05,5.29,"33,300","44,400"
7/21/2021,19,32,33,27.4,29.4,7.9,8,5.71,5.27,"45,600","81,100"
7/22/2021,20,33,33,27.7,28.7,7.7,7.9,5.7,5.43,"55,500","51,100"
