ABW;15-19;19-21;21-24;24-28;28-32;33;34
2.00;7.15;7.15;7.15;7.15;7.15;7.15;7.15
3.00;6.13;6.13;6.13;6.13;6.13;6.13;6.13
4.00;5.50;5.50;5.5;5.5;5.5;5.5;5.5
5.00;5.05;5.05;5.05;5.05;5.05;5.05;5.05
6.00;4.71;4.71;4.71;4.71;4.71;4.71;4.71
7.00;4.44;4.44;4.44;4.44;4.44;4.44;4.44
8.00;4.22;4.22;4.22;4.22;4.22;4.22;4.22
9.00;4.04;4.04;4.04;4.04;4.04;4.04;4.04
10.00;3.88;3.88;3.88;3.88;3.88;3.88;3.88
11.00;3.74;3.74;3.74;3.74;3.74;3.74;3.74
12.00;3.62;3.62;3.62;3.62;3.62;3.62;3.62
13.00;3.51;3.51;3.51;3.51;3.51;3.51;3.51
14.00;0.01;3.42;3.42;3.42;3.42;3.42;0.01
15.00;0.01;3.33;3.33;3.33;3.33;3.33;0.01
16.00;0.01;3.25;3.25;3.25;3.25;3.25;0.01
17.00;0.01;3.17;3.17;3.17;3.17;3.17;0.01
18.00;0.01;3.10;3.1;3.1;3.1;3.1;0.01
19.00;0.01;3.04;3.04;3.04;3.04;3.04;0.01
20.00;0.01;2.95;2.95;2.95;2.95;2.95;0.01
