Temp,DO,NH4,NO2,ABW,DOC,ABW.1,ADG
28.1,9.54,0.7,0.15,0.0145,1,0.0145,
28.6,9.47,0.6,0.15,0.028,2,0.028,0.014
28.3,8.88,0.0,0.0,0.0415,3,0.0415,0.014
28.3,7.16,0.0,0.0,0.055,4,0.055,0.014
28.2,11.09,0.7,0.35,0.0685,5,0.0685,0.014
28.4,10.31,0.0,0.0,0.082,6,0.082,0.014
28.6,10.36,0.0,0.0,0.0955,7,0.0955,0.014
28.700000000000003,10.0,0.8,0.25,0.109,8,0.109,0.014
28.8,9.64,0.0,0.0,0.1225,9,0.1225,0.014
30.1,8.17,0.0,0.0,0.2025,10,0.2025,0.08
29.9,7.24,0.5,0.25,0.2825,11,0.2825,0.08
30.1,6.97,1.5,0.0,0.3625,12,0.3625,0.08
28.9,8.61,0.0,0.0,0.4425,13,0.4425,0.08
28.3,10.52,1.5,0.15,0.5225,14,0.5225,0.08
29.0,7.89,0.0,0.0,0.55,16,0.55,0.05
28.3,8.74,1.7,0.15,0.6,17,0.6,0.05
28.9,8.76,0.0,0.0,0.65,18,0.65,0.05
29.6,8.24,0.0,0.0,0.7285,19,0.7285,0.079
29.3,9.18,2.0,0.25,0.9185,20,0.9185,0.19
30.1,8.57,0.0,0.0,1.1085,21,1.1085,0.19
29.7,8.66,0.0,0.0,1.2985,22,1.2985,0.19
28.4,8.27,2.7,0.1,1.4885,23,1.4885,0.19
28.299999999999997,9.94,2.4,0.1,1.656,24,1.656,0.168
28.2,9.538,2.6,0.05,1.826,25,1.826,0.17
28.7,9.136,3.1,0.1,1.996,26,1.996,0.17
28.75,8.734,3.5,0.05,2.166,27,2.166,0.17
28.799999999999997,8.331999999999999,5.4,0.05,2.336,28,2.336,0.17
28.849999999999998,7.93,3.2,0.1,2.485,29,2.485,0.149
28.9,6.97,2.4,0.1,2.625,30,2.625,0.14
27.7,5.84,3.5,0.15,2.765,31,2.765,0.14
27.4,4.82,4.4,0.15,2.905,32,2.905,0.14
27.7,5.33,7.0,0.15,3.045,33,3.045,0.14
28.6,5.23,10.0,0.15,3.19,34,3.19,0.145
29.1,6.21,10.0,0.15,3.45,35,3.45,0.26
29.2,6.67,9.0,0.15,3.71,36,3.71,0.26
29.5,5.61,9.0,0.15,3.97,37,3.97,0.26
29.9,5.98,9.0,0.15,4.23,38,4.23,0.26
