Temp;DO;NH4;NO2;ABW;DOC;ABW
29;7.36;1.2;;0.01;1;0.01
28;6.82;0.6;5;8.7;65;8.7
27;5.49;2.2;4;12.5;76;12.5
27.1;5.78;0.9;4.5;14.29;83;14.29
28;6.21;0.6;2;15.75;91;15.75
30;7.24;0.6;;0.01;1;0.01
28;5.58;2.5;6;9.17;65;9.17
27;5.11;0.7;6;12.5;76;12.5
27.1;5.62;2.2;6;14.08;83;14.08
27.9;4.82;2.2;4.5;15.9;92;15.9
29;8.27;0.6;;0.01;1;0.01
28;6.51;0.8;3;9.9;65;9.9
27;5.09;9;4.5;14.08;76;14.08
27.2;5.2;1.2;6;15.87;83;15.87
27.9;4.82;1.8;6;17.86;92;17.86
26.4;6.8;;0.01;0.01;1;0.01
28.2;3.9;5;0.7;9.71;65;9.71
29.5;3.87;6;0.85;13.7;76;13.7
27.9;3.46;5.5;0.8;15.87;83;15.87
28.8;3.72;4.5;0.85;18.18;90;18.18
28.1;9.54;0.7;0.15;0.0145;1;0.0145
28.6;9.47;0.6;0.15;0.028;2;0.028
28.3;8.88;0;0;0.0415;3;0.0415
28.3;7.16;0;0;0.055;4;0.055
28.2;11.09;0.7;0.35;0.0685;5;0.0685
28.4;10.31;0;0;0.082;6;0.082
28.6;10.36;0;0;0.0955;7;0.0955
;;0.8;0.25;0.109;8;0.109
28.8;9.64;0;0;0.1225;9;0.1225
30.1;8.17;0;0;0.2025;10;0.2025
29.9;7.24;0.5;0.25;0.2825;11;0.2825
30.1;6.97;1.5;0;0.3625;12;0.3625
28.9;8.61;0;0;0.4425;13;0.4425
28.3;10.52;1.5;0.15;0.5225;14;0.5225
29.1;10.06;0;0;0.5;15;0.5
29;7.89;0;0;0.55;16;0.55
28.3;8.74;1.7;0.15;0.6;17;0.6
28.9;8.76;0;0;0.65;18;0.65
29.6;8.24;0;0;0.7285;19;0.7285
29.3;9.18;2;0.25;0.9185;20;0.9185
30.1;8.57;0;0;1.1085;21;1.1085
29.7;8.66;0;0;1.2985;22;1.2985
28.4;8.27;2.7;0.1;1.4885;23;1.4885
;9.94;2.4;0.1;1.656;24;1.656
28.2;;2.6;0.05;1.826;25;1.826
28.7;;3.1;0.1;1.996;26;1.996
;;3.5;0.05;2.166;27;2.166
;;5.4;0.05;2.336;28;2.336
;7.93;3.2;0.1;2.485;29;2.485
28.9;6.97;2.4;0.1;2.625;30;2.625
27.7;5.84;3.5;0.15;2.765;31;2.765
27.4;4.82;4.4;0.15;2.905;32;2.905
27.7;5.33;7;0.15;3.045;33;3.045
28.6;5.23;10;0.15;3.19;34;3.19
29.1;6.21;10;0.15;3.45;35;3.45
29.2;6.67;9;0.15;3.71;36;3.71
29.5;5.61;9;0.15;3.97;37;3.97
29.9;5.98;9;0.15;4.23;38;4.23
29.6;6.22;8;0.2;4.48125;39;4.48125
29.1;5.31;10;0.25;4.66125;40;4.66125
28.1;5.59;10;0.3;4.84125;41;4.84125
27.8;6.07;11;0.35;5.02125;42;5.02125
28;5.89;10;0.4;5.20125;43;5.20125
27.6;5.72;12;0.5;5.38125;44;5.38125
28.2;;12;0.75;5.571428571;45;5.571428571
29;;14;0.45;5.861428571;46;5.861428571
;6.15;12;0.4;6.151428571;47;6.151428571
28.9;;11;0.4;6.441428571;48;6.441428571
;;0;0;6.714285714;49;6.714285714
28.9;5.91;14;1.5;6.834285714;50;6.834285714
29;6.07;14;2;6.954285714;51;6.954285714
29.1;5.61;13;3;7.074285714;52;7.074285714
29.1;5.52;13;4;7.194285714;53;7.194285714
27.5;5.51;20;5;7.211009174;54;7.211009174
28.7;7.21;18;5.5;7.190672783;55;7.190672783
29.2;7.67;15;6;7.170336391;56;7.170336391
29.2;6.52;18;5;7.15;57;7.15
28.5;7.59;16;4.5;7.25;58;7.25
28.2;7.01;11;4.5;7.35;59;7.35
28.6;5.55;13;4.5;7.45;60;7.45
29.1;6.45;8;4;7.55;61;7.55
29.2;5.77;13;4;7.65;62;7.65
29.3;5.51;14;5;7.77;63;7.77
30.2;6.55;18;5.5;7.9275;64;7.9275
30.5;6.14;14;5.5;8.085;65;8.085
29.9;6.33;11;5.5;8.2425;66;8.2425
29.6;6.63;14;5.5;8.4;67;8.4
29.9;7.52;9;4.5;8.7;68;8.7
29.8;8.24;9;4.5;9;69;9
29.9;8.04;7;4.5;9.3;70;9.3
29.8;6.73;8;5;9.6;71;9.6
29.7;5.16;6;6;10.22;72;10.22
29.7;5.42;7;5;10.63;73;10.63
29.6;5.84;5;6;11.04;74;11.04
29.6;6.25;5;5.5;11.45;75;11.45
29.7;6.17;5;5.5;11.86;76;11.86
29.8;5.29;4;5;11.88;77;11.88
29.1;5.28;4;4.5;12.28418018;78;12.28418018
29.5;6.35;4;5.5;12.68836036;79;12.68836036
29.9;6.82;2.5;4.5;13.09254054;80;13.09254054
30.3;6.41;2;5;13.49672072;81;13.49672072
29.6;5.59;2;4;13.9009009;82;13.9009009
29.1;5.54;2;5;14.3909009;83;14.3909009
29.6;5.19;2.5;5;14.8809009;84;14.8809009
29;6.16;3;5;15.3709009;85;15.3709009
29.5;6.82;3;6;15.8609009;86;15.8609009
29.1;6.5;3;5;16.37349398;87;16.37349398
29.1;7.2;1.5;2.5;16.61079518;88;16.61079518
29.4;6.59;1.5;2.5;16.84809639;89;16.84809639
28.4;7.87;1;3.5;17.08539759;90;17.08539759
28.9;8.41;1;3.5;17.3226988;91;17.3226988
29.1;6.66;1;3.5;17.56;92;17.56
29.6;7.03;1;3.5;18.07;93;18.07
29.5;6.72;2;4;18.58;94;18.58
29.9;6.1;2;4;19.09;95;19.09
29.5;5.31;3;5;19.6;96;19.6
29.8;5.82;3;5;20.11;97;20.11
29.7;5.34;3;5;20.68;98;20.68
30.3;5.33;3;7;21.25;99;21.25
29.7;6.23;3;7.5;21.82;100;21.82
29.6;7.66;1.5;7.5;22.39;101;22.39
29.6;6.59;0.5;7.5;22.94;102;22.94
28.7;7.99;0.5;7;23.57675147;103;23.57675147
29.3;7.86;0.5;6;24.21350294;104;24.21350294
29.5;7.41;0.5;4.5;24.8502544;105;24.8502544
29.5;6.45;0.5;4.5;25.48700587;106;25.48700587
29.4;5.21;2;4.5;26.12375734;107;26.12375734
27.8;11;0;0;0.018222222;1;0.018222222
28.5;9.15;1;0.05;0.035444444;2;0.035444444
28.2;7.23;1;0.05;0.052666667;3;0.052666667
28.2;5.69;0.8;0.15;0.069888889;4;0.069888889
28.3;8.34;0.8;0.2;0.087111111;5;0.087111111
28.3;9.27;0;0;0.104333333;6;0.104333333
28.6;;0;0;0.121555556;7;0.121555556
;;0.8;0.5;0.138777778;8;0.138777778
28.7;11.89;0;0;0.156;9;0.156
30;10.31;0;0;0.236;10;0.236
30;9.46;0.9;0.75;0.316;11;0.316
30.1;10.1;0;0;0.396;12;0.396
29;10.19;0;0;0.476;13;0.476
28.4;10.08;0.8;0.8;0.556;14;0.556
29.3;10.06;0.8;0;0.5;15;0.5
29.3;8.14;0;0;0.57;16;0.57
28.5;10.05;0.8;0.4;0.64;17;0.64
29.3;9.01;0;0;0.71;18;0.71
29.8;9.18;0;0;0.848;19;0.848
29.6;10.12;1.6;0.35;1.008;20;1.008
30.1;9.72;0;0;1.168;21;1.168
30.1;9.08;0;0;1.328;22;1.328
28.6;6.74;1.6;0.1;1.488;23;1.488
;6.54;0;0;1.6445;24;1.6445
28.2;;0;0;1.7945;25;1.7945
28.7;;3;0.15;1.9445;26;1.9445
;;2.6;0.15;2.0945;27;2.0945
;;3.3;0.1;2.2445;28;2.2445
;7.93;4.4;0.1;2.4;29;2.4
28.9;6.97;5;0.1;2.54;30;2.54
27.7;5.84;4.4;0.05;2.68;31;2.68
27.4;4.82;3.5;0.1;2.82;32;2.82
27.7;5.33;2.6;0.1;2.96;33;2.96
28.7;5.61;3;0.1;3.111111111;34;3.111111111
29.2;4.93;3.5;0.05;3.321111111;35;3.321111111
29.5;4.57;5;0.05;3.531111111;36;3.531111111
29.7;5.11;10;0.05;3.741111111;37;3.741111111
30;4.75;10;0.05;3.951111111;38;3.951111111
29.7;5.22;10;0.05;4.167938931;39;4.167938931
29.4;5.15;10;0.05;4.357938931;40;4.357938931
28.3;4.46;9;0.1;4.547938931;41;4.547938931
27.8;5.74;8;0.15;4.737938931;42;4.737938931
28.1;5.92;8;0.15;4.927938931;43;4.927938931
27.7;6.05;9;0.2;5.117938931;44;5.117938931
28.3;;10;0.2;5.294797688;45;5.294797688
29;;10;0.25;5.474797688;46;5.474797688
;6.08;11;0.25;5.654797688;47;5.654797688
28.9;;12;0.4;5.834797688;48;5.834797688
;;12;0.4;6.015228426;49;6.015228426
29.1;6.22;12;0.5;6.175228426;50;6.175228426
29.2;6.41;11;0.8;6.335228426;51;6.335228426
29.4;5.78;0;0;6.495228426;52;6.495228426
29.3;5.04;14;2.5;6.655228426;53;6.655228426
27.8;5.43;14;3;6.650746269;54;6.650746269
29;6.21;12;4;6.737164179;55;6.737164179
29.5;6.81;13;5;6.82358209;56;6.82358209
29.3;6.2;18;7.5;6.91;57;6.91
28.7;7.41;19;8.5;7.05;58;7.05
28.3;6.31;16;8.5;7.19;59;7.19
28.6;6.93;8;9;7.33;60;7.33
29;7.45;11;9;7.47;61;7.47
29.1;5.11;8;8;7.61;62;7.61
29.3;4.92;9;7.5;7.73;63;7.73
30.2;5.75;9;5.5;7.9225;64;7.9225
30.4;6.03;8;5;8.115;65;8.115
29.7;7.29;9;4.5;8.3075;66;8.3075
29.6;6.2;9;4.5;8.5;67;8.5
29.9;6.16;9;3;8.86;68;8.86
29.9;6.26;8;3;9.22;69;9.22
29.9;6.72;9;2.5;9.58;70;9.58
29.9;6.08;10;3;9.94;71;9.94
29.8;5.47;7;3;10.69;72;10.69
29.8;6.01;5;2.5;11.06;73;11.06
29.6;5.17;4;2.5;11.43;74;11.43
29.7;5.96;4;3;11.8;75;11.8
29.7;6.14;4;3;12.17;76;12.17
29.8;5.14;4;2;12.18;77;12.18
29.1;6.12;4;2.5;12.506;78;12.506
29.6;6.14;5;2.5;12.832;79;12.832
29.9;6.64;4;2.5;13.158;80;13.158
30.4;6.11;4;2;13.484;81;13.484
29.7;6.32;4;2.5;13.81;82;13.81
29.2;7.14;4;2;14.31;83;14.31
29.7;6.29;4;2.5;14.81;84;14.81
29;6.2;4;4;15.31;85;15.31
29.6;5.5;5;4;15.81;86;15.81
29.1;4.47;4;4;16.33160622;87;16.33160622
29;5.18;3.5;1.5;16.77528497;88;16.77528497
29.5;5.29;4;1.5;17.21896373;89;17.21896373
