Temp,DO,NH4,NO2,ABW,DOC
29,7.36,1.2,,0.01,1.0
28,6.82,0.6,5,8.7,65.0
27,5.49,2.2,4,12.5,76.0
27.1,5.78,0.9,4.5,14.29,83.0
28,6.21,0.6,2,15.75,91.0
30,7.24,0.6,,0.01,1.0
28,5.58,2.5,6,9.17,65.0
27,5.11,0.7,6,12.5,76.0
27.1,5.62,2.2,6,14.08,83.0
27.9,4.82,2.2,4.5,15.9,92.0
29,8.27,0.6,,0.01,1.0
28,6.51,0.8,3,9.9,65.0
27,5.09,9,4.5,14.08,76.0
27.2,5.2,1.2,6,15.87,83.0
27.9,4.82,1.8,6,17.86,92.0
26.4,6.8,,0.01,0.01,1.0
28.2,3.9,5,0.7,9.71,65.0
29.5,3.87,6,0.85,13.7,76.0
27.9,3.46,5.5,0.8,15.87,83.0
28.8,3.72,4.5,0.85,18.18,90.0
28.1,9.54,0.7,0.15,0.014500000000000002,1.0
28.6,9.47,0.6,0.15,0.028000000000000004,2.0
28.3,8.88,0,0,0.04150000000000001,3.0
28.3,7.16,0,0,0.05500000000000001,4.0
28.2,11.09,0.7,0.35,0.0685,5.0
28.4,10.31,0,0,0.082,6.0
28.6,10.36,0,0,0.0955,7.0
,,0.8,0.25,0.109,8.0
28.8,9.64,0,0,0.12250000000000001,9.0
30.1,8.17,0,0,0.2025,10.0
29.9,7.24,0.5,0.25,0.28250000000000003,11.0
30.1,6.97,1.5,0,0.36250000000000004,12.0
28.9,8.61,0,0,0.44250000000000006,13.0
28.3,10.52,1.5,0.15,0.5225000000000001,14.0
29.1,10.06,0,0,0.5,15.0
29,7.89,0,0,0.55,16.0
28.3,8.74,1.7,0.15,0.6000000000000001,17.0
28.9,8.76,0,0,0.6500000000000001,18.0
29.6,8.24,0,0,0.7285,19.0
29.3,9.18,2,0.25,0.9185000000000001,20.0
30.1,8.57,0,0,1.1085,21.0
29.7,8.66,0,0,1.2985,22.0
28.4,8.27,2.7,0.1,1.4885,23.0
,9.94,2.4,0.1,1.656,24.0
28.2,,2.6,0.05,1.8259999999999998,25.0
28.7,,3.1,0.1,1.9959999999999998,26.0
,,3.5,0.05,2.166,27.0
,,5.4,0.05,2.336,28.0
,7.93,3.2,0.1,2.4850000000000003,29.0
28.9,6.97,2.4,0.1,2.6250000000000004,30.0
27.7,5.84,3.5,0.15,2.7650000000000006,31.0
