Temp;DO;NH4;NO2;ABW;DOC
28.1;9.54;0.7;0.15;0.0145;1
28.6;9.47;0.6;0.15;0.028;2
28.3;8.88;0;0;0.0415;3
28.3;7.16;0;0;0.055;4
28.2;11.09;0.7;0.35;0.0685;5
28.4;10.31;0;0;0.082;6
28.6;10.36;0;0;0.0955;7
;;0.8;0.25;0.109;8
28.8;9.64;0;0;0.1225;9
30.1;8.17;0;0;0.2025;10
29.9;7.24;0.5;0.25;0.2825;11
30.1;6.97;1.5;0;0.3625;12
28.9;8.61;0;0;0.4425;13
28.3;10.52;1.5;0.15;0.5225;14
29.1;10.06;0;0;0.5;15
29;7.89;0;0;0.55;16
28.3;8.74;1.7;0.15;0.6;17
28.9;8.76;0;0;0.65;18
29.6;8.24;0;0;0.7285;19
29.3;9.18;2;0.25;0.9185;20
30.1;8.57;0;0;1.1085;21
29.7;8.66;0;0;1.2985;22
28.4;8.27;2.7;0.1;1.4885;23
;9.94;2.4;0.1;1.656;24
28.2;;2.6;0.05;1.826;25
28.7;;3.1;0.1;1.996;26
;;3.5;0.05;2.166;27
;;5.4;0.05;2.336;28
;7.93;3.2;0.1;2.485;29
28.9;6.97;2.4;0.1;2.625;30
27.7;5.84;3.5;0.15;2.765;31
27.4;4.82;4.4;0.15;2.905;32
27.7;5.33;7;0.15;3.045;33
28.6;5.23;10;0.15;3.19;34
29.1;6.21;10;0.15;3.45;35
29.2;6.67;9;0.15;3.71;36
29.5;5.61;9;0.15;3.97;37
29.9;5.98;9;0.15;4.23;38
29.6;6.22;8;0.2;4.48125;39
29.1;5.31;10;0.25;4.66125;40
28.1;5.59;10;0.3;4.84125;41
27.8;6.07;11;0.35;5.02125;42
28;5.89;10;0.4;5.20125;43
27.6;5.72;12;0.5;5.38125;44
28.2;;12;0.75;5.571429;45
29;;14;0.45;5.861429;46
;6.15;12;0.4;6.151429;47
28.9;;11;0.4;6.441429;48
;;0;0;6.714286;49
28.9;5.91;14;1.5;6.834286;50
29;6.07;14;2;6.954286;51
29.1;5.61;13;3;7.074286;52
29.1;5.52;13;4;7.194286;53
27.5;5.51;20;5;7.211009;54
28.7;7.21;18;5.5;7.190673;55
29.2;7.67;15;6;7.170336;56
29.2;6.52;18;5;7.15;57
28.5;7.59;16;4.5;7.25;58
28.2;7.01;11;4.5;7.35;59
28.6;5.55;13;4.5;7.45;60
29.1;6.45;8;4;7.55;61
29.2;5.77;13;4;7.65;62
29.3;5.51;14;5;7.77;63
30.2;6.55;18;5.5;7.9275;64
30.5;6.14;14;5.5;8.085;65
29.9;6.33;11;5.5;8.2425;66
29.6;6.63;14;5.5;8.4;67
29.9;7.52;9;4.5;8.7;68
29.8;8.24;9;4.5;9;69
29.9;8.04;7;4.5;9.3;70
29.8;6.73;8;5;9.6;71
29.7;5.16;6;6;10.22;72
29.7;5.42;7;5;10.63;73
29.6;5.84;5;6;11.04;74
29.6;6.25;5;5.5;11.45;75
29.7;6.17;5;5.5;11.86;76
29.8;5.29;4;5;11.88;77
29.1;5.28;4;4.5;12.28418;78
29.5;6.35;4;5.5;12.68836;79
29.9;6.82;2.5;4.5;13.09254;80
30.3;6.41;2;5;13.49672;81
29.6;5.59;2;4;13.9009;82
29.1;5.54;2;5;14.3909;83
29.6;5.19;2.5;5;14.8809;84
29;6.16;3;5;15.3709;85
29.5;6.82;3;6;15.8609;86
29.1;6.5;3;5;16.37349;87
29.1;7.2;1.5;2.5;16.6108;88
29.4;6.59;1.5;2.5;16.8481;89
28.4;7.87;1;3.5;17.0854;90
28.9;8.41;1;3.5;17.3227;91
29.1;6.66;1;3.5;17.56;92
29.6;7.03;1;3.5;18.07;93
29.5;6.72;2;4;18.58;94
29.9;6.1;2;4;19.09;95
29.5;5.31;3;5;19.6;96
29.8;5.82;3;5;20.11;97
29.7;5.34;3;5;20.68;98
30.3;5.33;3;7;21.25;99
29.7;6.23;3;7.5;21.82;100
29.6;7.66;1.5;7.5;22.39;101
29.6;6.59;0.5;7.5;22.94;102
28.7;7.99;0.5;7;23.57675;103
29.3;7.86;0.5;6;24.2135;104
29.5;7.41;0.5;4.5;24.85025;105
29.5;6.45;0.5;4.5;25.48701;106
29.4;5.21;2;4.5;26.12376;107
