Temp,DO,NH3,ABW,DOC,feeding
28.7,5.53,0.01513638284,0.02,1,1
27.9,5.94,0.0304140819,0.05,2,1
27.6,5.94,0.0304140819,0.07,3,1
27.6,6.23,0.0304140819,0.09,4,1
28.2,6.25,0.0304140819,0.11,5,1
27.8,5.88,0.04962763427,0.13,6,1
28.1,6.01,0.04962763427,0.16,7,1
28.7,5.21,0.04805915502,0.18,8,1
29.0,8.02,0.04805915502,0.2,9,1
29.2,5.07,0.08311366679,0.22,10,1
29.8,5.26,0.08311366679,0.24,11,1
30.2,4.95,0.124854497,0.27,12,1
29.9,5.01,0.124854497,0.29,13,1
29.3,5.08,0.06284118704,0.31,14,1
29.5,5.27,0.06284118704,0.33,15,1
29.3,5.51,0.02566617603,0.35,16,1
29.0,5.25,0.02566617603,0.38,17,1
29.2,4.83,0.08835528366,0.4,18,1
29.4,5.11,0.08835528366,0.42,19,1
29.6,5.23,0.05581007441,0.52,20,1
29.8,5.54,0.05828514938,0.62,21,1
29.5,5.55,0.1761153634,0.72,22,1
29.6,5.54,0.1690752376,0.82,23,1
29.2,5.69,0.1903585502,0.92,24,1
29.0,5.55,0.173637806,1.08,25,1
28.2,5.81,0.2538650459,1.24,26,1
28.8,5.44,0.243866826,1.4,27,1
28.5,9.12,0.09249740012,1.56,28,1
29.1,4.44,0.03041149279,1.72,29,1
28.9,4.62,0.04248365475,1.96,30,1
28.8,5.04,0.07341441819,2.2,31,1
28.7,5.61,0.1515304177,2.44,32,1
27.6,6.13,0.1213177897,2.68,33,1
27.1,5.61,0.1572193994,2.91,34,1
27.0,5.39,0.2115005528,3.09,35,1
28.5,5.03,0.1592958126,3.27,36,1
28.3,4.29,0.2006479695,3.45,37,1
29.0,4.61,0.2017801137,3.63,38,1
29.2,4.42,0.2602144373,3.82,39,1
29.1,4.72,0.2762073343,4.14,40,1
28.8,4.54,0.1610003598,4.46,41,1
29.0,4.42,0.1439868208,4.78,42,1
29.0,4.56,0.0593107727,5.1,43,1
28.0,4.67,0.07350552381,5.43,44,1
28.4,4.74,0.1028137935,5.95,45,1
28.7,4.54,0.145285472,6.47,46,1
28.5,4.72,0.1355192451,6.99,47,1
28.1,4.86,0.1295672335,7.51,48,1
28.3,4.79,0.1141677596,8.02,49,1
28.7,4.82,0.1749510485,8.38,50,1
28.6,4.71,0.1226747504,8.74,51,1
28.7,4.68,0.114892316,9.1,52,1
28.6,4.72,0.1289112989,9.46,53,1
28.5,4.81,0.08690389501,9.82,54,1
28.2,4.76,0.05691764706,10.33,55,1
28.6,4.61,0.04620871752,10.84,56,1
28.9,4.72,0.04603974959,11.35,57,1
28.1,4.51,0.06103754355,11.86,58,1
28.0,4.64,0.1091068988,12.38,59,1
28.6,4.73,0.1019347913,12.85,60,1
28.6,4.73,0.2324567552,13.32,61,1
28.9,4.84,0.3459637945,13.79,62,1
28.8,4.52,0.3505506644,14.26,63,1
28.5,4.69,0.2938059553,14.74,64,1
28.6,4.56,0.2751473127,14.88,65,1
28.7,4.61,0.3440031942,15.03,66,1
28.4,4.68,0.3427243859,15.17,67,1
28.6,4.54,0.3387756519,15.32,68,1
28.5,5.46,0.3270815464,15.46,69,1
27.9,5.03,0.2509013337,15.6,70,1
28.3,5.14,0.2323043946,15.75,71,1
28.6,5.01,0.26895421,15.89,72,1
28.6,5.01,0.1714995573,16.04,73,1
